word,lemma,old_rank,new_rank
casa,casar,94,95
trabajo,trabajar,151,152
acuerdo,,199,200
muerto,morir,272,273
camino,caminar,334,335
ayuda,ayudar,336,337
esposa,esposar,356,357
equipo,equipar,456,457
juego,jugar,459,460
amo,amar,465,466
comida,comer,481,482
vuelta,volver,487,488
pregunta,preguntar,495,496
paso,pasar,522,523
arma,armar,537,538
lista,listo,556,557
culpa,culpar,580,581
recuerdo,recordar,597,598
sentido,sentir,614,615
trato,tratar,631,632
acerca,acercar,640,641
cambio,cambiar,643,644
falta,faltar,645,646
gusto,gustar,651,652
extraño,extrañar,658,659
querida,querer,675,677
calle,callar,683,684
odio,odiar,693,694
asesino,asesinar,717,718
sueño,soñar,719,720
viaje,viajar,724,725
lamento,lamentar,730,731
fuerza,forzar,735,736
llamado,llamar,737,738
oído,oír,739,740
dado,dar,741,742
preguntas,pregunta,748,749
baño,bañar,767,768
daño,dañar,772,773
querido,querer,778,779
duro,durar,780,781
prueba,probar,783,784
campo,campar,787,788
ataque,atacar,910,911
vista,ver,933,934
salvo,salvar,935,936
pelo,pelar,943,944
divertido,divertir,970,971
vuelto,volver,973,974
peligro,peligrar,975,976
disculpa,disculpar,980,981
regreso,regresar,991,992
media,medio,993,994
oro,orar,997,998
abierta,abrir,2127,2128
cole,colegio,3439,3440
acuerda,acordar,4853,4854
cómoda,cómodo,5285,5286
dedicado,dedicar,5902,5903
retirada,retirar,6058,6059
construido,construir,6664,6665
colgado,colgar,6726,6727
